site,lm_all,lm_middle,lm_initial,glm
ALD,1.1634920634920634,1.8077777777777781,2.749999999999999,0.04040648203959631
BCQ,0.8793650793650793,0.5788888888888889,0.3388888888888888,0.08439089308951771
BDT,1.2313131313131311,1.4622222222222223,1.6888888888888884,0.07235842187957876
CBB,1.1825396825396823,1.3111111111111113,0.6444444444444443,0.12304626181758385
HIK,1.2634538152610444,1.664367816091954,1.9466666666666668,0.0866629564305642
IRL,1.4015873015873015,1.967777777777778,3.1944444444444438,0.17023058350142203
LIS,1.1857777777777778,1.5377777777777777,2.211111111111111,0.053200368898153785
MAD,0.9924603174603174,1.1555555555555557,1.4111111111111108,0.04648003998944278
MDA,1.3861111111111108,1.917777777777778,3.066666666666666,0.14648468811162116
MWH,1.2531746031746032,1.7022222222222223,2.8111111111111104,0.05924200528367221
SBH,1.1019841269841266,1.1488888888888888,0.7777777777777778,0.08359326652878339
SDB,1.247222222222222,1.518888888888889,1.583333333333333,0.09514360878264674
SFB,1.2424603174603173,1.5688888888888892,1.4777777777777776,0.09284603376904695
TMA,1.2138888888888888,1.7455555555555555,3.0166666666666657,0.04684194671312125
VAS,1.372222222222222,1.9155555555555561,2.955555555555555,0.1261687629250457
WAS,0.06666666666666665,0.053333333333333344,0.04444444444444444,0.03319884919026662
