site,panel,taxon
USA-SBH,1,Hydroides
USA-SBH,1,ccw
USA-SBH,1,watersipora
USA-SBH,1,Ciona
USA-SBH,1,amp tubes
USA-SBH,1,cw
USA-SBH,1,Crisulipora
USA-SBH,1,ebryo01
USA-SBH,1,salmacina
USA-SBH,1,bner
USA-SBH,1,Thalamoporella
USA-SBH,2,salmacina
USA-SBH,2,Hydroides
USA-SBH,2,cw
USA-SBH,2,ccw
USA-SBH,2,watersipora
USA-SBH,2,Thalamoporella
USA-SBH,2,ebryo01
USA-SBH,2,amp tubes
USA-SBH,2,Crisulipora
USA-SBH,2,spg-orange
USA-SBH,2,Ciona
USA-SBH,3,Hydroides
USA-SBH,3,Thalamoporella
USA-SBH,3,Crisulipora
USA-SBH,3,cw
USA-SBH,3,ccw
USA-SBH,3,watersipora
USA-SBH,3,amp tubes
USA-SBH,3,obelia
USA-SBH,3,salmacina
USA-SBH,3,ebryo01
USA-SBH,4,ebryo01
USA-SBH,4,cw
USA-SBH,4,ccw
USA-SBH,4,amp tubes
USA-SBH,4,Ciona
USA-SBH,4,watersipora
USA-SBH,4,Thalamoporella
USA-SBH,4,ebryo01
USA-SBH,4,Hydroides
USA-SBH,5,amp tubes
USA-SBH,5,cw
USA-SBH,5,ccw
USA-SBH,5,Thalamoporella
USA-SBH,5,ebryo01
USA-SBH,5,obelia
USA-SBH,5,Ciona
USA-SBH,5,Crisulipora
USA-SBH,5,salmacina
USA-SBH,5,watersipora
USA-SBH,6,salmacina
USA-SBH,6,obelia
USA-SBH,6,Hydroides
USA-SBH,6,watersipora
USA-SBH,6,ebryo01
USA-SBH,6,Crisulipora
USA-SBH,6,cw
USA-SBH,6,ccw
USA-SBH,6,amp tubes
USA-SBH,7,bner
USA-SBH,7,Thalamoporella
USA-SBH,7,watersipora
USA-SBH,7,cw
USA-SBH,7,ccw
USA-SBH,7,ebryo01
USA-SBH,7,Crisulipora
USA-SBH,7,Hydroides
USA-SBH,7,obelia
USA-SBH,7,ebryo02-clear
USA-SBH,7,amp tubes
USA-SBH,8,Crisulipora
USA-SBH,8,Thalamoporella
USA-SBH,8,cw
USA-SBH,8,ccw
USA-SBH,8,watersipora
USA-SBH,8,Hydroides
USA-SBH,8,ebryo01
USA-SBH,8,ebryo02-clear
USA-SBH,8,spg-yellow
USA-SBH,9,ebryo01
USA-SBH,9,ebryo02-clear
USA-SBH,9,Thalamoporella
USA-SBH,9,watersipora
USA-SBH,9,cw
USA-SBH,9,ccw
USA-SBH,9,Hydroides
USA-SBH,9,spg-yellow
USA-SBH,9,salmacina
USA-SBH,9,Crisulipora
USA-SBH,9,bner
USA-SBH,9,amp tubes
USA-SBH,10,watersipora
USA-SBH,10,cw
USA-SBH,10,ccw
USA-SBH,10,Crisulipora
USA-SBH,10,obelia
USA-SBH,10,salmacina
USA-SBH,10,Hydroides
USA-SBH,10,ebryo01
USA-SBH,10,Thalamoporella
USA-SBH,10,spg-yellow
USA-SBH,11,salmacina
USA-SBH,11,cw
USA-SBH,11,ccw
USA-SBH,11,ebryo01
USA-SBH,11,watersipora
USA-SBH,11,Crisulipora
USA-SBH,11,obelia
USA-SBH,11,Thalamoporella
USA-SBH,11,ebryo02-clear
USA-SBH,11,spg-orange
USA-SBH,12,salmacina
USA-SBH,12,watersipora
USA-SBH,12,ebryo01
USA-SBH,12,cw
USA-SBH,12,ccw
USA-SBH,12,Crisulipora
USA-SBH,12,Thalamoporella
USA-SBH,12,spg-yellow
USA-SBH,12,bner
USA-SBH,12,spg-orange
USA-SBH,12,ebryo02-clear
USA-SBH,12,amp tubes
USA-SBH,13,Thalamoporella
USA-SBH,13,cw
USA-SBH,13,ccw
USA-SBH,13,bner
USA-SBH,13,Ciona
USA-SBH,13,Crisulipora
USA-SBH,13,ebryo01
USA-SBH,13,ebryo02-clear
USA-SBH,13,botryllus sch
USA-SBH,13,amp tubes
USA-SBH,13,Hydroides
USA-SBH,13,salmacina
USA-SBH,14,Thalamoporella
USA-SBH,14,watersipora
USA-SBH,14,ebryo01
USA-SBH,14,cw
USA-SBH,14,ccw
USA-SBH,14,salmacina
USA-SBH,14,Hydroides
USA-SBH,14,mytilus
USA-SBH,14,Ciona
USA-SBH,14,ebryo02-clear
USA-SBH,15,watersipora
USA-SBH,15,cw
USA-SBH,15,ccw
USA-SBH,15,spg-yellow
USA-SBH,15,salmacina
USA-SBH,15,Hydroides
USA-SBH,15,Thalamoporella
USA-SBH,15,ebryo02-clear
USA-SBH,15,Crisulipora
USA-SBH,15,ebryo01
USA-SBH,15,obelia
USA-SBH,15,bner
USA-SBH,15,bstolon
USA-SBH,16,bner
USA-SBH,16,Crisulipora
USA-SBH,16,Thalamoporella
USA-SBH,16,cw
USA-SBH,16,ccw
USA-SBH,16,salmacina
USA-SBH,16,Hydroides
USA-SBH,16,watersipora
USA-SBH,16,Ciona
USA-SBH,16,obelia
USA-SBH,16,spg-yellow
USA-SBH,16,ebryo01
USA-SBH,16,bstolon
USA-SBH,16,ebryo02-clear
USA-SBH,17,watersipora
USA-SBH,17,Thalamoporella
