lat,site,temp_mean,sal_mean,richness_30,richness_60,richness_90,mfrichness_30,mfrichness_60,mfrichness_90,logrug_30,logrug_60,logrug_90,total_cover_30,total_cover_60,total_cover_90,ar_bryo_30,ar_bryo_60,ar_bryo_90,lm_all,lm_middle,lm_initial,glm,total_richness,mfrichness,richness,Lat,Long,ocean,log_ar_bryo_90,lgr_90_resid
30.25,ALD,29.346666666666668,12.4,2.6666666666666665,2.5,2.3333333333333335,2.5,3.5,3,-4.7962550486282405,-4.330366484919324,-4.494365665850121,82.5,94.33333333333331,72.5,0,0,0,1.1634920634920634,1.807777777777778,2.749999999999999,0.04040648203959631,5,3,2.5,30.37736,-88.3112,Atlantic,0,-3.687216048820191
30.25,ALD,29.346666666666668,12.4,2.6666666666666665,2.5,2.3333333333333335,2.5,3.5,3,-4.7962550486282405,-4.330366484919324,-4.494365665850121,82.5,94.33333333333331,72.5,0,0,0,1.1634920634920634,1.807777777777778,2.749999999999999,0.04040648203959631,5,3,2.5,30.25134,-88.07983,Atlantic,0,-3.687216048820191
30.25,ALD,29.346666666666668,12.4,2.6666666666666665,2.5,2.3333333333333335,2.5,3.5,3,-4.7962550486282405,-4.330366484919324,-4.494365665850121,82.5,94.33333333333331,72.5,0,0,0,1.1634920634920634,1.807777777777778,2.749999999999999,0.04040648203959631,5,3,2.5,30.30141,-87.45925,Atlantic,0,-3.687216048820191
50.1,BCQ,16.91,33,4.333333333333333,8.5,7,3,4.166666666666667,3.8333333333333335,-4.349679684097878,-3.8265634722032074,-3.06895049140009,10.166666666666666,38.33333333333333,94.16666666666669,0,0,0.3333333333333333,0.8793650793650793,0.5788888888888889,0.3388888888888888,0.08439089308951771,16,3.6666666666666665,6.611111111111111,50.1031,-125.2113,Pacific,0.12493873660829993,-2.7307021326476932
9.35,BDT,28.96,32.13333333333333,15.333333333333334,21.166666666666668,17.25,6.666666666666667,8,8,-5.596739934395227,-3.45074516875537,-2.0376433127914533,50.666666666666664,84.33333333333333,93.5,0,0,0,1.2313131313131311,1.4622222222222223,1.6888888888888884,0.07235842187957876,49,7.5,18,9.35105,-82.25716,Atlantic,0,-3.459318382566431
38.33,CBB,16.003333333333334,35,7.5,8.333333333333334,7.666666666666667,4.333333333333333,4.666666666666667,4,-4.969804843611755,NA,-1.416076992035871,19.333333333333332,88.66666666666667,100,2.5,48,66.16666666666667,1.1825396825396823,1.3111111111111111,0.6444444444444443,0.12304626181758384,18,4.333333333333333,7.833333333333333,38.32864,-123.05654,Pacific,1.827153795757466,-1.2237910788162998
21.43,HIK,25.296666666666667,33.666666666666664,9.6,9.5,10.666666666666666,7.8,7.5,7.833333333333333,-5.133493912507943,-3.158764435909691,-3.349380820702439,58.4,96.33333333333331,94.33333333333331,1.8,0,1.1666666666666667,1.2634538152610444,1.664367816091954,1.9466666666666668,0.0866629564305642,26,7.705882352941177,9.941176470588236,21.4328,-157.7903,Pacific,0.3357921019231932,-3.2001084117251084
27.46,IRL,28.386666666666667,32.65,19.833333333333332,16.833333333333332,16,6.666666666666667,6.166666666666667,6.166666666666667,-2.6728832800108577,-1.5334722693200258,-1.4072612869085843,95.83333333333331,99.66666666666669,97.83333333333331,11.666666666666666,36.166666666666664,35.166666666666664,1.4015873015873015,1.967777777777778,3.194444444444444,0.17023058350142203,40,6.333333333333333,17.555555555555557,27.457406,-80.311746,Atlantic,1.558308483464886,-1.9711390711323822
40.88,LIS,24.406666666666663,26.766666666666666,4.166666666666667,5.5,6.166666666666667,4.166666666666667,4.5,5.666666666666667,-4.842236248913499,-4.344001539833556,-3.2177977228957024,66.33333333333333,82.16666666666667,85,1.1666666666666667,0.16666666666666666,3.5000000000000004,1.1563492063492065,1.5377777777777777,2.211111111111111,0.050313994455354,13,4.777777777777778,5.277777777777778,40.884683,-72.441368,Atlantic,0.6532125137753437,-2.7455694504126975
32.74,MAD,23.176666666666662,35.723333333333336,9.166666666666666,13.833333333333334,17,4.666666666666667,5.333333333333333,6.333333333333333,-4.981702974461732,-4.016894596184789,-3.5711283893389862,42.33333333333333,65.5,81.16666666666667,15.333333333333334,10.833333333333334,11,0.9924603174603174,1.1555555555555557,1.4111111111111108,0.04648003998944278,27,5.444444444444445,13.333333333333334,32.741289,-16.713203,Atlantic,1.0791812460476249,-1.9955497333238554
38.89,MDA,28.566666666666663,8.806666666666667,2,2,2.1666666666666665,2.1666666666666665,2,2.1666666666666665,-4.172689409576559,-4.29780684654517,-4.236014376427838,92,97.83333333333331,98.16666666666669,0,0,0,1.3861111111111108,1.917777777777778,3.066666666666666,0.14648468811162116,3,2.111111111111111,2.0555555555555554,38.885641,-76.54149,Atlantic,0,-3.759762251261098
41.52,MWH,23.096666666666668,28.666666666666668,8.5,9.333333333333334,12.166666666666666,5.333333333333333,5.666666666666667,8.166666666666666,-1.7399813406166136,-1.138697706090392,-1.564037770441867,84.33333333333333,85.5,90.33333333333331,64,58,36.833333333333336,1.2531746031746032,1.7022222222222223,2.8111111111111104,0.05924200528367221,21,6.388888888888889,10,41.52472222,-70.66944444,Atlantic,1.577874606809479,-1.773130283400192
34.41,SBH,17.906666666666666,33,10,10.666666666666666,12.833333333333334,3.8333333333333335,4.666666666666667,5.166666666666667,-5.619590004553936,-2.5903016460402752,-0.9982039561026887,23.333333333333332,74.5,96.83333333333331,1.3333333333333333,14,5.833333333333333,1.1019841269841266,1.1488888888888888,0.7777777777777778,0.08359326652878339,20,4.555555555555555,11.166666666666666,34.40533,-119.689867,Pacific,0.8346326063360918,-2.277020327137236
32.72,SDB,21.666666666666668,33,16.166666666666668,21.166666666666668,19,7.166666666666667,8.833333333333334,9,-4.726937843466387,-2.8771682481347067,-1.8198462447028096,47.5,90.16666666666669,98.66666666666669,2.8333333333333335,3.1666666666666665,3.5,1.247222222222222,1.518888888888889,1.583333333333333,0.09514360878264674,37,8.333333333333334,18.77777777777778,32.724582,-117.174834,Pacific,0.6532125137753437,-2.7331120217107236
37.81,SFB,17.793333333333333,32.43333333333334,13.666666666666666,11.166666666666666,13.833333333333334,5.333333333333333,4.166666666666667,4.333333333333333,-3.8858274252985687,-1.4997371859325592,-1.2116150139858428,44.333333333333336,95.5,95.5,10.333333333333334,49.166666666666664,51.166666666666664,1.2424603174603173,1.5688888888888892,1.4777777777777776,0.09284603376904696,28,4.611111111111111,12.88888888888889,37.80642,-122.44339,Pacific,1.717393087162805,-1.522104109272153
27.84,TMA,29.866666666666667,31.806666666666665,5.166666666666667,5.333333333333333,5.5,3.8333333333333335,3.6666666666666665,4,-5.156502865446846,-3.5122566779015747,-3.034611025449355,90.5,85.66666666666667,82.66666666666667,0,0,0,1.2138888888888888,1.7455555555555555,3.0166666666666657,0.04684194671312125,10,3.8333333333333335,5.333333333333333,27.837683,-97.053117,Atlantic,0,-3.6461798130960408
37.29,VCR,26.28333333333333,30.666666666666668,7.666666666666667,7.333333333333333,7.833333333333333,6.5,5.166666666666667,4.5,-2.526023870383185,-1.880589026105442,-1.5140202043202424,88.66666666666667,99.33333333333331,96.33333333333331,42,22.666666666666668,14.333333333333334,1.372222222222222,1.915555555555556,2.955555555555555,0.1261687629250457,NA,5.388888888888889,7.611111111111111,NA,NA,NA,1.1856365769619117,-2.3723361239155407
48.55,WAS,11.743333333333332,29.933333333333337,1.1666666666666667,1.8333333333333333,2.8333333333333335,1,1.6666666666666667,1.3333333333333333,-6.026293770317174,-6.005729915358771,-3.071927491207794,1.3333333333333333,3.3333333333333335,6.666666666666667,0,0,0,0.06666666666666665,0.05333333333333334,0.04444444444444444,0.03319884919026662,6,1.3333333333333333,1.9444444444444444,48.5453,-123.0121,Pacific,0,-2.5301407593839005
