site,age,salinity,temperature_c
CAN-BCQ,30,33,19.25
CAN-BCQ,60,33,16.440000000000001
CAN-BCQ,90,33,15.04
PAN-BDT,30,32.5,29.13
PAN-BDT,60,31.3,28.67
PAN-BDT,90,32.6,29.54
PAN-GOP,30,na,na
PAN-GOP,60,na,na
PAN-GOP,90,na,na
POR-MAD,30,35.54,21.5
POR-MAD,60,35.78,22.79
POR-MAD,90,35.85,23.95
USA-ALD-PAP,30,13.3,29.03
USA-ALD-PAP,60,12,29.51
USA-ALD-PAP,90,12.9,26.77
USA-ALD-PIER,30,10.7,28.71
USA-ALD-PIER,60,16.3,30.8
USA-ALD-PIER,90,10.199999999999999,28.53
USA-ALD-RI,30,11.3,29.6
USA-ALD-RI,60,15.9,30.18
USA-ALD-RI,90,11,27.67
USA-CBB,30,35,15.39
USA-CBB,60,35,16.309999999999999
USA-CBB,90,35,16.21
USA-HIK,30,34,22
USA-HIK,60,34,26.9
USA-HIK,90,33,26.99
USA-IRL,30,35.5,28.37
USA-IRL,60,33.15,28.39
USA-IRL,90,29.3,28.4
USA-LIS,30,26.3,25.05
USA-LIS,60,27.2,25.52
USA-LIS,90,26.8,22.65
USA-MDA,30,10,29.2
USA-MDA,60,8.93,28.76
USA-MDA,90,7.49,27.74
USA-MWH,30,28,22.69
USA-MWH,60,29,24.21
USA-MWH,90,29,22.39
USA-SBC,30,33,18.43
USA-SBC,60,33,17.88
USA-SBC,90,33,17.41
USA-SDB,30,33,na
USA-SDB,60,33,na
USA-SDB,90,33,na
USA-SFB,30,28.6,17.25
USA-SFB,60,29.2,17.72
USA-SFB,90,39.5,18.41
USA-TMA,30,29.32,29.31
USA-TMA,60,29.88,29.8
USA-TMA,90,36.22,30.49
USA-VAS,30,30.8,27.23
USA-VAS,60,30.2,27.83
USA-VAS,90,31,23.79
USA-WAS,30,29,11.75
USA-WAS,60,30.1,12.28
USA-WAS,90,30.7,11.2
