lat,site,total_richness,temp_mean,sal_mean,richness_30,richness_60,richness_90,mfrichness_30,mfrichness_60,mfrichness_90,logrug_30,logrug_60,logrug_90,total_cover_30,total_cover_60,total_cover_90,ar_bryo_30,ar_bryo_60,ar_bryo_90
30.25,ALD,5,29.346666666666668,12.4,2.6666666666666665,2.5,2.3333333333333335,2.5,3.5,3,-4.7962550486282405,-4.330366484919324,-4.494365665850121,82.5,94.33333333333333,72.5,0,0,0
50.1,BCQ,16,16.91,33,4.333333333333333,8.5,7,3,4.166666666666667,3.8333333333333335,-4.349679684097878,-3.8265634722032074,-3.06895049140009,10.166666666666666,38.33333333333333,94.16666666666667,0,0,0.3333333333333333
9.35,BDT,49,28.96,32.13333333333333,15.333333333333334,21.166666666666668,17.25,6.666666666666667,8,8,-5.596739934395227,-3.45074516875537,-2.0376433127914533,50.666666666666664,84.33333333333333,93.5,0,0,0
38.33,CBB,18,16.003333333333334,35,7.5,8.333333333333334,7.666666666666667,4.333333333333333,4.666666666666667,4,-4.969804843611755,NA,-1.4160769920358707,19.333333333333332,88.66666666666667,100,2.5,48,66.16666666666667
21.43,HIK,26,25.296666666666667,33.666666666666664,9.6,9.5,10.666666666666666,7.8,7.5,7.833333333333333,-5.133493912507943,-3.158764435909691,-3.349380820702439,58.4,96.33333333333333,94.33333333333333,1.8,0,1.1666666666666667
27.46,IRL,40,28.386666666666667,32.65,19.833333333333332,16.833333333333332,16,6.666666666666667,6.166666666666667,6.166666666666667,-2.6728832800108577,-1.5334722693200258,-1.4072612869085845,95.83333333333333,99.66666666666667,97.83333333333333,11.666666666666666,36.166666666666664,35.166666666666664
40.88,LIS,13,24.406666666666666,26.766666666666666,4.166666666666667,5.5,6.166666666666667,4.166666666666667,4.5,5.666666666666667,-4.842236248913499,-4.344001539833556,-3.2177977228957024,66.33333333333333,82.16666666666667,85,1.1666666666666667,0.16666666666666666,3.5000000000000004
32.74,MAD,27,23.176666666666666,35.723333333333336,9.166666666666666,13.833333333333334,17,4.666666666666667,5.333333333333333,6.333333333333333,-4.981702974461732,-4.016894596184789,-3.5711283893389862,42.33333333333333,65.5,81.16666666666667,15.333333333333334,10.833333333333334,11
38.89,MDA,3,28.566666666666666,8.806666666666667,2,2,2.1666666666666665,2.1666666666666665,2,2.1666666666666665,-4.172689409576559,-4.29780684654517,-4.236014376427838,92,97.83333333333333,98.16666666666667,0,0,0
41.52,MWH,21,23.096666666666668,28.666666666666668,8.5,9.333333333333334,12.166666666666666,5.333333333333333,5.666666666666667,8.166666666666666,-1.7399813406166136,-1.138697706090392,-1.564037770441867,84.33333333333333,85.5,90.33333333333333,64,58,36.833333333333336
34.41,SBH,20,17.906666666666666,33,10,10.666666666666666,12.833333333333334,3.8333333333333335,4.666666666666667,5.166666666666667,-5.619590004553936,-2.5903016460402752,-0.9982039561026887,23.333333333333332,74.5,96.83333333333333,1.3333333333333333,14,5.833333333333333
32.72,SDB,37,21.666666666666668,33,16.166666666666668,21.166666666666668,19,7.166666666666667,8.833333333333334,9,-4.726937843466387,-2.8771682481347067,-1.8198462447028094,47.5,90.16666666666667,98.66666666666667,2.8333333333333335,3.1666666666666665,3.5
37.81,SFB,28,17.793333333333333,32.43333333333334,13.666666666666666,11.166666666666666,13.833333333333334,5.333333333333333,4.166666666666667,4.333333333333333,-3.8858274252985687,-1.4997371859325592,-1.2116150139858428,44.333333333333336,95.5,95.5,10.333333333333334,49.166666666666664,51.166666666666664
27.84,TMA,10,29.866666666666667,31.806666666666665,5.166666666666667,5.333333333333333,5.5,3.8333333333333335,3.6666666666666665,4,-5.156502865446846,-3.5122566779015747,-3.034611025449355,90.5,85.66666666666667,82.66666666666667,0,0,0
37.29,VCR,16,26.28333333333333,30.666666666666668,7.666666666666667,7.333333333333333,7.833333333333333,6.5,5.166666666666667,4.5,-2.526023870383185,-1.880589026105442,-1.5140202043202424,88.66666666666667,99.33333333333333,96.33333333333333,42,22.666666666666668,14.333333333333334
48.55,WAS,6,11.743333333333332,29.933333333333334,1.1666666666666667,1.8333333333333333,2.8333333333333335,1,1.6666666666666667,1.3333333333333333,-6.026293770317174,-6.005729915358771,-3.071927491207794,1.3333333333333333,3.3333333333333335,6.666666666666667,0,0,0
