panel,site,age,total_cover,open_space
2021_CAN-BCQ_30d_01,BCQ,30,3,97
2021_CAN-BCQ_30d_02,BCQ,30,5,95
2021_CAN-BCQ_30d_03,BCQ,30,18,82
2021_CAN-BCQ_30d_04,BCQ,30,17,83
2021_CAN-BCQ_30d_05,BCQ,30,6,94
2021_CAN-BCQ_30d_06,BCQ,30,12,88
2021_CAN-BCQ_60d_07,BCQ,60,7,93
2021_CAN-BCQ_60d_08,BCQ,60,44,56.00000000000001
2021_CAN-BCQ_60d_09,BCQ,60,38,62
2021_CAN-BCQ_60d_10,BCQ,60,66,34
2021_CAN-BCQ_60d_11,BCQ,60,66,34
2021_CAN-BCQ_60d_12,BCQ,60,9,91
2021_CAN-BCQ_90d_13,BCQ,90,88,12
2021_CAN-BCQ_90d_14,BCQ,90,100,0
2021_CAN-BCQ_90d_15,BCQ,90,97,3
2021_CAN-BCQ_90d_16,BCQ,90,100,0
2021_CAN-BCQ_90d_17,BCQ,90,87,13
2021_CAN-BCQ_90d_18,BCQ,90,93,7.000000000000001
2021_PAN-BDT_30d_01,BDT,30,52,48
2021_PAN-BDT_30d_02,BDT,30,39,61
2021_PAN-BDT_30d_03,BDT,30,44,56.00000000000001
2021_PAN-BDT_30d_04,BDT,30,72,28.000000000000004
2021_PAN-BDT_30d_05,BDT,30,57,43
2021_PAN-BDT_30d_06,BDT,30,40,60
2021_PAN-BDT_60d_07,BDT,60,81,19
2021_PAN-BDT_60d_08,BDT,60,96,4
2021_PAN-BDT_60d_09,BDT,60,76,24
2021_PAN-BDT_60d_10,BDT,60,74,26
2021_PAN-BDT_60d_11,BDT,60,82,18
2021_PAN-BDT_60d_12,BDT,60,97,3
2021_PAN-BDT_90d_13,BDT,90,99,1
2021_PAN-BDT_90d_14,BDT,90,98,2
2021_PAN-BDT_90d_15,BDT,90,100,0
2021_PAN-BDT_90d_16,BDT,90,77,23
2021_POR-MAD_30d_01,MAD,30,26,74
2021_POR-MAD_30d_02,MAD,30,31,69
2021_POR-MAD_30d_03,MAD,30,44,56.00000000000001
2021_POR-MAD_30d_04,MAD,30,56,44
2021_POR-MAD_30d_05,MAD,30,68,32
2021_POR-MAD_30d_06,MAD,30,29,71
2021_POR-MAD_60d_07,MAD,60,40,60
2021_POR-MAD_60d_08,MAD,60,87,13
2021_POR-MAD_60d_09,MAD,60,73,27
2021_POR-MAD_60d_10,MAD,60,65,35
2021_POR-MAD_60d_11,MAD,60,62,38
2021_POR-MAD_60d_12,MAD,60,66,34
2021_POR-MAD_90d_13,MAD,90,77,23
2021_POR-MAD_90d_14,MAD,90,53,47
2021_POR-MAD_90d_15,MAD,90,94,6
2021_POR-MAD_90d_16,MAD,90,90,10
2021_POR-MAD_90d_17,MAD,90,90,10
2021_POR-MAD_90d_18,MAD,90,83,17
2021_USA-ALD_30d_01,ALD,30,82,18
2021_USA-ALD_30d_02,ALD,30,75,25
2021_USA-ALD_30d_03,ALD,30,83,17
2021_USA-ALD_30d_04,ALD,30,84,16
2021_USA-ALD_30d_05,ALD,30,91,9
2021_USA-ALD_30d_06,ALD,30,80,20
2021_USA-ALD_60d_07,ALD,60,90,10
2021_USA-ALD_60d_08,ALD,60,100,0
2021_USA-ALD_60d_09,ALD,60,100,0
2021_USA-ALD_60d_10,ALD,60,94,6
2021_USA-ALD_60d_11,ALD,60,89,11
2021_USA-ALD_60d_12,ALD,60,93,7.000000000000001
2021_USA-ALD_90d_13,ALD,90,71,28.999999999999996
2021_USA-ALD_90d_14,ALD,90,72,28.000000000000004
2021_USA-ALD_90d_15,ALD,90,59,41
2021_USA-ALD_90d_16,ALD,90,90,10
2021_USA-ALD_90d_17,ALD,90,68,32
2021_USA-ALD_90d_18,ALD,90,75,25
2021_USA-CBB_30d_01,CBB,30,9,91
2021_USA-CBB_30d_02,CBB,30,12,88
2021_USA-CBB_30d_03,CBB,30,22,78
2021_USA-CBB_30d_04,CBB,30,32,68
2021_USA-CBB_30d_05,CBB,30,13,87
2021_USA-CBB_30d_06,CBB,30,28,72
2021_USA-CBB_60d_07,CBB,60,94,6
2021_USA-CBB_60d_08,CBB,60,85,15
2021_USA-CBB_60d_09,CBB,60,100,0
2021_USA-CBB_60d_10,CBB,60,82,18
