lhs,op,rhs,est,se,z,pvalue,ci.lower,ci.upper
lm_middle,~,temp_mean,0.074,0.019,3.894,0.000,0.031,0.103
richness_30,~,temp_mean,0.432,0.260,1.660,0.097,-0.169,0.852
richness_30,~,sal_mean,0.497,0.208,2.383,0.017,0.259,1.107
logrug_90,~,lm_middle,-0.495,0.494,-1.002,0.316,-1.322,0.809
logrug_90,~,richness_30,0.098,0.035,2.806,0.005,0.024,0.159
logrug_90,~,log_ar_bryo_90,0.879,0.271,3.238,0.001,0.320,1.423
log_ar_bryo_90,~,temp_mean,-0.137,0.031,-4.403,0.000,-0.194,-0.069
log_ar_bryo_90,~,lm_middle,1.692,0.370,4.572,0.000,0.919,2.423
log_ar_bryo_90,~,sal_mean,0.034,0.023,1.467,0.142,-0.023,0.062
sal_mean,~~,sal_mean,55.242,27.417,2.015,0.044,3.575,104.488
temp_mean,~~,temp_mean,29.281,7.557,3.875,0.000,13.713,43.102
temp_mean,~~,sal_mean,-16.680,9.347,-1.785,0.074,-35.756,0.586
lm_middle,~~,lm_middle,0.087,0.026,3.363,0.001,0.023,0.123
richness_30,~~,richness_30,15.779,4.514,3.496,0.000,4.787,22.262
logrug_90,~~,logrug_90,0.386,0.146,2.653,0.008,0.080,0.629
log_ar_bryo_90,~~,log_ar_bryo_90,0.114,0.035,3.267,0.001,0.029,0.164
